Name,Album,Artist,URI
Celestial,Celestial,Ed Sheeran,spotify:track:4zrKN5Sv8JS5mqnbVcsul7
Bad Memories (feat. Elley Duhé & FAST BOY),Bad Memories (feat. Elley Duhé & FAST BOY),MEDUZA,spotify:track:3rb0tMq42WfggucPm0HHkA
Super Freaky Girl,Wake up happy 2023 | Good Morning,Various Artists,spotify:track:4XRc44oRSkuJfnYcQUSMst
Single Soon,Single Soon,Selena Gomez,spotify:track:6iF4RgIjDvDqyW13PezSj3
Kiss Me,Songs of Sonder,Dermot Kennedy,spotify:track:1Xq9ilOLiknCaGYtSsvFrH
B.O.T.A. (Baddest of Them All),Daily Pop Mix,Various Artists,spotify:track:28vVY9dJdHWrxsTRix1gMF
Love Again,Love Again,MIRA,spotify:track:4Vvy29lp15NvfeqC8PAr6U
Welcome To New York (Taylor's Version),1989 (Taylor's Version),Taylor Swift,spotify:track:1hR8BSuEqPCCZfv93zzzz9
lil' freak,lil' freak,bbno$,spotify:track:6guIMfoWJvsCXQxNsAtWPN
Satellite,Harry's House,Harry Styles,spotify:track:0rzaRSujxA0bKyjJl6vHYq
The Alchemy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,spotify:track:1tuNqJOtRQVHvONR8Lg3MZ
Desire (with Sam Smith),Desire (with Sam Smith),Calvin Harris,spotify:track:22dUzMFttcR3uU17NcOAIv
Scared Of Loving You,Scared Of Loving You,Selena Gomez,spotify:track:0rgSJ9SC0Q7HxH5vAL8Vct
I LUV IT (feat. Playboi Carti),I LUV IT (feat. Playboi Carti),Camila Cabello,spotify:track:2H2ytI7ompfNmRkI2sq8Uk
Now Or Never,Now Or Never,Pitbull,spotify:track:5hG7MlKPCqUgtdwROUbBRS
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX,spotify:track:60JZB9waHUPWJTGbYO6kDB
Numb,Numb,Marshmello,spotify:track:10xV5l9nhLvFpR8mqzs0bL
